Plant ID,S1 average berry weight (g),S2 average berry weight (g),S1 estimate,S2 estimate,"left: HT, right:ML",S1 estimate,S2 estimate,,S1 imaged berry #,S2 imaged berry #,HT_Count_S1,HT_Count_S2,ML_Count_S1,ML_Count_S2,,,,S1 label avg area,S2 label avg area
14-336_R1,2.77,2.43,6304.105263,5981,,4480.520593,4200.463316,,25,25,25,25,25,25,,,,,87.75990518
14-336_R2,2.96,2.53,6957.08,6442.7,,4830.699396,4321.860454,,25,11,25,11,24,11,,,,95.01993648,87.95447869
14-336_R3,2.56,2.38,6134.6,5855.24,,4285.17322,4093.784254,,25,25,25,25,25,25,,,,90.45990979,
14-323_R1,2.36,2.40,5816.56,5864.875,,4119.118057,4116.545093,,25,25,25,25,25,25,,,,86.65990704,88.25991552
14-323_R2,2.53,2.76,6055.16,6477.791667,,4277.454327,4638.263102,,25,25,25,25,25,25,,,,89.39989094,92.27990419
14-323_R3,2.57,2.55,6106.333333,5970.304348,,4193.931945,4216.494863,,25,25,25,25,25,25,,,,,88.41991133
14-324_R1,2.46,2.35,6268.16,5903.76,,4389.477238,4139.305932,,25,25,25,25,25,25,,,,90.07990992,
14-324_R2,2.37,2.06,5954.88,5377.695652,,4192.744423,3721.891941,,25,25,25,25,25,25,,,,,83.97992736
14-324_R3,2.27,2.32,5676,5916.88,,4144.25394,4092.200891,,25,25,25,25,25,25,,,,87.15991536,
14-300_R1,1.79,1.79,4669.416667,4663.4,,3250.049857,3250.049857,,25,25,25,25,25,25,,,,77.85992189,
14-300_R2,1.96,1.68,5098.28,4399.92,,3501.804526,3083.796774,,25,25,25,25,25,25,,,,81.07991539,76.13990698
14-300_R3,1.85,1.78,4757.708333,4577,,3314.769807,3221.351408,,25,25,25,25,25,25,,,,,77.41991779
13-291_R1,2.50,2.28,6142.6,5703.666667,,4335.247066,4033.616472,,25,25,25,25,25,25,,,,89.31991219,
13-291_R2,2.47,2.07,5990.954545,5320.869565,,4280.423132,3758.705123,,25,25,25,25,25,25,,,,89.43992266,83.99988778
13-291_R3,2.34,2.07,5831.64,5425.782609,,4097.544741,3740.694373,,25,25,25,25,25,25,,,,87.17991206,
13-315_R1,2.28,2.35,5537.333333,6066.12,,3810.33301,4269.339593,,27,25,27,25,27,25,,,,85.05546747,88.95990701
13-315_R2,2.44,1.83,6201.16,5147.642857,,4371.466487,3551.963194,,25,14,25,14,25,14,(S2 need to rotate image because it is in landscape),,,89.47991203,
13-315_R3,2.06,2.00,5542.12,5390.32,,3918.822676,3786.809811,,25,25,25,25,25,25,,,,84.05989805,83.33991994
14-296_R1,3.33,2.66,7951.75,6693.083333,,5607.874834,4779.380302,,25,25,25,25,25,25,,,,,93.5599009
14-296_R2,2.99,2.88,7433.391304,7007.478261,,5315.942336,5069.729437,,25,25,25,25,25,25,,,,100.0399075,97.63991194
14-296_R3,2.87,2.84,7092.95,7260.434783,,5019.457671,5079.229613,,25,25,25,25,25,25,,,,,97.67991946
14-321_R1,1.58,1.31,4264.52,3728.958333,,2952.179749,2585.829205,,25,25,25,24,25,25,,,,74.77991338,
